file	base source line	mutation	S,F,A,R,H1,H2,Haccepted (T=unreachable F=reachable)	RESULT locations
scratch/m_D_139_drop.pv	D:139	drop	TTTTFFF	scratch/m_D_139_drop.out:383; scratch/m_D_139_drop.out:389; scratch/m_D_139_drop.out:395; scratch/m_D_139_drop.out:401; scratch/m_D_139_drop.out:564; scratch/m_D_139_drop.out:796; scratch/m_D_139_drop.out:1039
scratch/m_D_139_tag.pv	D:139	tag	TTTTFFF	scratch/m_D_139_tag.out:386; scratch/m_D_139_tag.out:392; scratch/m_D_139_tag.out:398; scratch/m_D_139_tag.out:404; scratch/m_D_139_tag.out:580; scratch/m_D_139_tag.out:812; scratch/m_D_139_tag.out:1055
scratch/m_D_139_binding.pv	D:139	binding	TTTTFFF	scratch/m_D_139_binding.out:386; scratch/m_D_139_binding.out:392; scratch/m_D_139_binding.out:398; scratch/m_D_139_binding.out:404; scratch/m_D_139_binding.out:583; scratch/m_D_139_binding.out:815; scratch/m_D_139_binding.out:1058
scratch/m_D_140_drop.pv	D:140	drop	TTTTFFF	scratch/m_D_140_drop.out:383; scratch/m_D_140_drop.out:389; scratch/m_D_140_drop.out:395; scratch/m_D_140_drop.out:401; scratch/m_D_140_drop.out:573; scratch/m_D_140_drop.out:805; scratch/m_D_140_drop.out:1048
scratch/m_D_140_tag.pv	D:140	tag	TTTTFFF	scratch/m_D_140_tag.out:386; scratch/m_D_140_tag.out:392; scratch/m_D_140_tag.out:398; scratch/m_D_140_tag.out:404; scratch/m_D_140_tag.out:580; scratch/m_D_140_tag.out:812; scratch/m_D_140_tag.out:1055
scratch/m_D_140_binding.pv	D:140	binding	TTTTFFF	scratch/m_D_140_binding.out:386; scratch/m_D_140_binding.out:392; scratch/m_D_140_binding.out:398; scratch/m_D_140_binding.out:404; scratch/m_D_140_binding.out:580; scratch/m_D_140_binding.out:812; scratch/m_D_140_binding.out:1055
scratch/m_D_142_arity.pv	D:142	arity	FTTTFFF	scratch/m_D_142_arity.out:564; scratch/m_D_142_arity.out:570; scratch/m_D_142_arity.out:576; scratch/m_D_142_arity.out:582; scratch/m_D_142_arity.out:758; scratch/m_D_142_arity.out:990; scratch/m_D_142_arity.out:1233
scratch/m_D_143_drop.pv	D:143	drop	TFTTFFF	scratch/m_D_143_drop.out:385; scratch/m_D_143_drop.out:583; scratch/m_D_143_drop.out:590; scratch/m_D_143_drop.out:597; scratch/m_D_143_drop.out:774; scratch/m_D_143_drop.out:1007; scratch/m_D_143_drop.out:1251
scratch/m_D_144_drop.pv	D:144	drop	TTTTFFF	scratch/m_D_144_drop.out:384; scratch/m_D_144_drop.out:390; scratch/m_D_144_drop.out:396; scratch/m_D_144_drop.out:402; scratch/m_D_144_drop.out:564; scratch/m_D_144_drop.out:796; scratch/m_D_144_drop.out:1039
scratch/m_D_144_tag.pv	D:144	tag	TTTTFFF	scratch/m_D_144_tag.out:386; scratch/m_D_144_tag.out:392; scratch/m_D_144_tag.out:398; scratch/m_D_144_tag.out:404; scratch/m_D_144_tag.out:580; scratch/m_D_144_tag.out:812; scratch/m_D_144_tag.out:1055
scratch/m_D_144_binding.pv	D:144	binding	TTTTFFF	scratch/m_D_144_binding.out:386; scratch/m_D_144_binding.out:393; scratch/m_D_144_binding.out:400; scratch/m_D_144_binding.out:407; scratch/m_D_144_binding.out:584; scratch/m_D_144_binding.out:817; scratch/m_D_144_binding.out:1061
scratch/m_D_145_drop.pv	D:145	drop	TTTTFFF	scratch/m_D_145_drop.out:384; scratch/m_D_145_drop.out:390; scratch/m_D_145_drop.out:396; scratch/m_D_145_drop.out:402; scratch/m_D_145_drop.out:567; scratch/m_D_145_drop.out:799; scratch/m_D_145_drop.out:1042
scratch/m_D_145_tag.pv	D:145	tag	TTTTFFF	scratch/m_D_145_tag.out:386; scratch/m_D_145_tag.out:392; scratch/m_D_145_tag.out:398; scratch/m_D_145_tag.out:404; scratch/m_D_145_tag.out:580; scratch/m_D_145_tag.out:812; scratch/m_D_145_tag.out:1055
scratch/m_D_145_binding.pv	D:145	binding	TTTTFFF	scratch/m_D_145_binding.out:386; scratch/m_D_145_binding.out:392; scratch/m_D_145_binding.out:398; scratch/m_D_145_binding.out:405; scratch/m_D_145_binding.out:584; scratch/m_D_145_binding.out:816; scratch/m_D_145_binding.out:1060
scratch/m_D_146_alg.pv	D:146	alg	TTTTFFF	scratch/m_D_146_alg.out:386; scratch/m_D_146_alg.out:392; scratch/m_D_146_alg.out:398; scratch/m_D_146_alg.out:404; scratch/m_D_146_alg.out:580; scratch/m_D_146_alg.out:812; scratch/m_D_146_alg.out:1055
scratch/m_D_146_id.pv	D:146	id	TTTTFFF	scratch/m_D_146_id.out:386; scratch/m_D_146_id.out:392; scratch/m_D_146_id.out:398; scratch/m_D_146_id.out:404; scratch/m_D_146_id.out:580; scratch/m_D_146_id.out:812; scratch/m_D_146_id.out:1055
scratch/m_D_146_fp.pv	D:146	fp	TTTTFFF	scratch/m_D_146_fp.out:386; scratch/m_D_146_fp.out:392; scratch/m_D_146_fp.out:398; scratch/m_D_146_fp.out:404; scratch/m_D_146_fp.out:580; scratch/m_D_146_fp.out:812; scratch/m_D_146_fp.out:1055
scratch/m_D_147_drop.pv	D:147	drop	TTTTFFF	scratch/m_D_147_drop.out:384; scratch/m_D_147_drop.out:390; scratch/m_D_147_drop.out:396; scratch/m_D_147_drop.out:402; scratch/m_D_147_drop.out:578; scratch/m_D_147_drop.out:810; scratch/m_D_147_drop.out:1053
scratch/m_D_159_drop.pv	D:159	drop	TTTTFFF	scratch/m_D_159_drop.out:383; scratch/m_D_159_drop.out:389; scratch/m_D_159_drop.out:395; scratch/m_D_159_drop.out:401; scratch/m_D_159_drop.out:577; scratch/m_D_159_drop.out:796; scratch/m_D_159_drop.out:1026
scratch/m_D_159_tag.pv	D:159	tag	TTTTFFF	scratch/m_D_159_tag.out:386; scratch/m_D_159_tag.out:392; scratch/m_D_159_tag.out:398; scratch/m_D_159_tag.out:404; scratch/m_D_159_tag.out:580; scratch/m_D_159_tag.out:812; scratch/m_D_159_tag.out:1055
scratch/m_D_159_binding.pv	D:159	binding	TTTTFFF	scratch/m_D_159_binding.out:386; scratch/m_D_159_binding.out:392; scratch/m_D_159_binding.out:398; scratch/m_D_159_binding.out:404; scratch/m_D_159_binding.out:580; scratch/m_D_159_binding.out:815; scratch/m_D_159_binding.out:1061
